PCS_ESE;label;Effectifs en EQTP;Salaire moyen en EQTP;Année
479B;Experts salariés de niveau technicien, techniciens divers;64300;2600;2023
480A;Contremaîtres et agents d'encadrement (non cadres) en agriculture, sylviculture;3090;2700;2023
481A;Conducteurs de travaux (non cadres);39920;2900;2023
481B;Chefs de chantier (non cadres);65270;2900;2023
482A;Agents de maîtrise en fabrication de matériel électrique, électronique;3300;2900;2023
483A;Agents de maîtrise en construction mécanique, travail des métaux;11660;3200;2023
484A;Agents de maîtrise en fabrication : agroalimentaire, chimie, plasturgie, pharmacie.;35980;3200;2023
484B;Agents de maîtrise en fabrication : métallurgie, matériaux lourds et autres industries de transformation;19250;3100;2023
485A;Agents de maîtrise et techniciens en production et distribution d'énergie, eau, chauffage;43370;3200;2023
485B;Agents de maîtrise en fabrication des autres industries (imprimerie, matériaux souples, ameublement et bois);10280;2900;2023
486B;Agents de maîtrise en maintenance, installation en électricité et électronique;12350;3100;2023
486C;Agents de maîtrise en maintenance, installation en électromécanique;7230;3000;2023
486D;Agents de maîtrise en maintenance, installation en mécanique;30020;2900;2023
486E;Agents de maîtrise en entretien général, installation, travaux neufs (hors mécanique, électromécanique, électronique);17880;2800;2023
487A;Responsables d'entrepôt, de magasinage;39550;2700;2023
487B;Responsables du tri, de l'emballage, de l'expédition et autres responsables de la manutention;22970;2700;2023
488A;Maîtrise de restauration  : cuisine/production;38720;2400;2023
488B;Maîtrise de restauration  : gestion d'établissement;13950;2500;2023
525B;Agents de service des autres établissements d'enseignement;10540;1700;2023
526B;Assistants dentaires, médicaux et vétérinaires, aides de techniciens médicaux;51200;2000;2023
526C;Auxiliaires de puériculture;40560;1600;2023
526D;Aides médico-psychologiques;76220;2000;2023
526E;Ambulanciers salariés;56850;1900;2023
533B;Agents techniques forestiers, gardes des espaces naturels;950;1900;2023
534A;Agents civils de sécurité et de surveillance;176420;1900;2023
534B;Convoyeurs de fonds, gardes du corps, enquêteurs privés et métiers assimilés (salariés);5100;2400;2023
541B;Agents d'accueil qualifiés, hôtesses d'accueil et d'information;73820;1800;2023
541C;Agents d'accueil non qualifiés;14450;1800;2023
541D;Standardistes, téléphonistes;35940;1800;2023
542A;Secrétaires;345550;2000;2023
542B;Dactylos, sténodactylos (sans secrétariat), opérateurs de traitement de texte;7840;2200;2023
543B;Employés qualifiés des services comptables ou financiers;214910;2300;2023
543C;Employés non qualifiés des services comptables ou financiers;20300;2100;2023
543E;Employés qualifiés des services du personnel et des services juridiques;45380;2300;2023
543F;Employés qualifiés des services commerciaux des entreprises (hors vente);159770;2300;2023
543G;Employés administratifs qualifiés des autres services des entreprises;288090;2300;2023
543H;Employés administratifs non qualifiés;103270;2000;2023
544A;Employés et opérateurs d'exploitation en informatique;38790;2200;2023
545A;Employés administratifs des services techniques de la banque;11260;2800;2023
545B;Employés des services commerciaux de la banque;18320;2500;2023
545C;Employés des services techniques des assurances;61540;2300;2023
545D;Employés des services techniques des organismes de sécurité sociale et assimilés;60570;2100;2023
546A;Contrôleurs des transports (personnels roulants);10040;2700;2023
546B;Agents des services commerciaux des transports de voyageurs et du tourisme;34170;2300;2023
546C;Employés administratifs d'exploitation des transports de marchandises;43010;2200;2023
546D;Hôtesses de l'air et stewards;15600;3100;2023
546E;Autres agents et hôtesses d'accompagnement (transports, tourisme);10880;2200;2023
551A;Employés de libre service du commerce et magasiniers;385830;1800;2023
552A;Caissiers de magasin;126320;1700;2023
553B;Vendeurs polyvalents des grands magasins;12070;2000;2023
553C; Autres vendeurs non spécialisés;68110;2000;2023
554A;Vendeurs en alimentation;175840;1700;2023
554B;Vendeurs en ameublement, décor, équipement du foyer;63310;2100;2023
554C;Vendeurs en droguerie, bazar, quincaillerie, bricolage;54980;1900;2023
554D;Vendeurs du commerce de fleurs;19670;1700;2023
554E;Vendeurs en habillement et articles de sport;124890;1800;2023
554F;Vendeurs en produits de beauté, de luxe (hors biens culturels) et optique;55770;2100;2023
554G;Vendeurs de biens culturels (livres, disques, multimédia, objets d'art);19170;2200;2023
554H;Vendeurs de tabac, presse et articles divers;15700;1700;2023
